AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
301576617,comteodalric,0.024,0,0.063,0.031,
2228161285,ma10rkun28,0.017,0,0.058,0.024,
749080528955985920,heavyshigeo115,0.005,0,0.007,1.187e-04,
1506382414309904384,comsecusa,0.005,0,0.034,0.008,
1349186366056271872,Raffi__aditya,0.005,0,0.008,0.001,
130121423,akiba2013,0.017,0,0.064,0.024,
870812067846012928,Stratotanker_KC,0.005,0,0.034,0.008,
1511564387156639745,PhanThanhLan14,0.005,0,0.028,0.003,
1408630227228524547,Japan2681,0.011,0,0.018,1.187e-04,
1272160780532629506,KMGR_FLT,0.011,0,0.051,0.018,
1390005001578233857,Antonio09380351,0.005,0,0.034,0.008,
18949781,Spartan_Intel,0.017,0,0.099,0.023,
1407391747731251208,USSMIDWAYY,0.011,0,0.049,0.004,
822328100,TheRealCVN71,0.006,0,0.041,0.001,
731364674,chinfo,7.451e-04,0,0.003,6.159e-05,
70752796,ShtfLiving,0.017,0,0.086,0.021,
1389672865595752450,RNmIPaULwabFpkz,0.005,0,0.007,1.187e-04,
4804564092,FUSCLL3DV51zhWN,0.005,0,0.007,1.187e-04,
288900653,alexrugem,0.005,0,0.028,0.003,
121119775,ginyose007,0.017,0,0.019,3.562e-04,
822947631638794241,pompoko_heppoko,0.011,0,0.013,2.374e-04,
601555458,TawniVixen4,0.011,0,0.042,0.009,
881137693748477952,boredofjudges,0.017,0,0.027,0.002,
